usat :/travel/
usat :/picture-gallery/travel/flights/2014/08/12/the-50-longest-airlines-routes-from-the-usa-and-can
usat :/picture-gallery/travel/cruises/2014/08/26/first-look-inside-royal-caribbeans-new-quantum-of-t
usat :/picture-gallery/travel/flights/2014/09/03/the-50-longest-airline-routes-from-the-usa-and-cana
usat :/picture-gallery/travel/destinations/2014/09/30/tiny-houses-for-rent/16480069/
usat :/travel/flights/
usat :/picture-gallery/travel/cruises/2014/09/15/cruise-ship-tour-the-early-icons-of-the-carnival-fl
usat :/picture-gallery/travel/cruises/2014/08/19/cruise-ship-tours-scenic-cruises-scenic-gem/1429836
usat :/picture-gallery/travel/flights/2014/09/08/southwest-unveils-first-new-look-since-2001/1528221
usat :/picture-gallery/travel/cruises/2014/01/14/photo-tour-first-look-at-new-norwegian-getaway/4450
usat :/picture-gallery/travel/cruises/2014/08/01/cruise-ship-tours-princess-cruises-diamond-princess
usat :/picture-gallery/travel/flights/2014/10/05/the-worlds-airbus-a380-fleet/16765081/
usat :/travel/cruises/gallery/cruise_ship_tours
usat :/picture-gallery/travel/cruises/2014/05/29/first-look-princess-cruises-new-regal-princess/9708
usat :/picture-gallery/travel/flights/2014/09/15/airbus-strange-looking-beluga-aircraft-turns-20/156
usat :/picture-gallery/travel/flights/2014/04/07/the-first-look-inside-the-airbus-a350-xwb/7410327/
usat :/picture-gallery/travel/cruises/2014/08/28/cruise-ship-tours-louis-cruises-cristal/14729683/
usat :/blog/todayinthesky/
usat :/picture-gallery/travel/flights/2014/06/26/boeings-jumbo-milestone-the-1500th-747/11434791/
usat :/media/cinematic/gallery/12738299/
usat :/media/cinematic/gallery/14609307/
usat :/picture-gallery/travel/flights/2014/09/15/spirit-rolls-out-a-bold-new-paint-scheme-for-its-pl
usat :/picture-gallery/travel/destinations/2014/08/15/photo-tour-beautiful-new-mexico/13726209/
usat :/picture-gallery/travel/flights/2014/05/20/boeings-lineup-of-commercial-passenger-planes/93495
usat :/picture-gallery/travel/destinations/10greatplaces/2014/07/24/best-places-to-learn-about-us-hi
usat :/travel/cruises/
usat :/picture-gallery/travel/cruises/2014/06/27/first-look-inside-the-revamped-carnival-freedom/114
usat :/traveltips.usatoday.com/
usat :/story/travel/flights/2014/07/23/5-myths-about-flight-attendants/12965715/
usat :/picture-gallery/travel/destinations/2013/12/24/beautiful-churches-around-the-world/3961845/
usat :/picture-gallery/travel/flights/2014/09/30/qantas-debuts-giant-airbus-a380-on-sydney-dallasfor
usat :/story/todayinthesky/2014/07/30/woman-dies-on-us-airways-honolulu-phoenix-redeye-flight/133582
usat :/story/todayinthesky/2014/08/26/knee-defender-fight-united-flight-diverted/14609109/
usat :/story/todayinthesky/2014/09/26/chicago-flights-grounded-after-fire-at-faa-radar-facility/1625
usat :/story/todayinthesky/2014/10/14/72-hour-sale-southwest-fares-fall-below-100-round-trip/1724079
usat :/picture-gallery/travel/cruises/2014/02/05/photos-royal-caribbeans-quantum-of-the-seas/5221467
usat :/picture-gallery/travel/destinations/2014/10/03/photo-tour-beautiful-utah/15767359/
usat :/picture-gallery/travel/destinations/2014/08/29/photo-tour-beautiful-massachusetts/14607605/
